pixel_index,860_cm?????,870_cm?????,880_cm?????,890_cm?????,900_cm?????,911_cm?????,920_cm?????,930_cm?????,941_cm?????,950_cm?????,960_cm?????,970_cm?????,980_cm?????
1.21538,3.119413,7.878507,9.224267,2.55752,7.19922,2.706887,7.382027,6.514053,7.29262,5.92646,3.49603,4.13371,6.92098
1.23077,3.1542,7.88998,9.276553,2.562447,7.226187,2.72546,7.416313,6.518187,7.269373,5.917533,3.50026,4.13984,6.90074
1.24615,3.135627,7.918207,9.283313,2.58064,7.236767,2.720347,7.420213,6.51614,7.223833,5.913073,3.50521,4.14333,6.89565
1.26154,3.144313,7.92626,9.30118,2.575527,7.242693,2.712747,7.463947,6.517387,7.218913,5.917593,3.49652,4.15121,6.88166
1.27692,3.16056,7.92992,9.36846,2.597873,7.286907,2.740353,7.492093,6.564313,7.235713,5.910653,3.48914,4.14983,6.88303
1.29231,3.156487,7.96902,9.44096,2.587873,7.305727,2.781973,7.555947,6.61814,7.28698,5.966287,3.50479,4.1378,6.88037
1.30769,3.150273,7.983813,9.45618,2.627807,7.325353,2.787487,7.582927,6.62374,7.34464,5.99956,3.52604,4.16473,6.89727
1.32308,3.145553,8.003487,9.44642,2.621847,7.368767,2.798273,7.64962,6.675447,7.371907,6.046713,3.53147,4.18629,6.89577
1.33846,3.11636,8.011327,9.438607,2.595813,7.39872,2.8262,7.696653,6.7312,7.403053,6.090893,3.5484,4.20401,6.90688
1.35385,3.114733,7.994227,9.428873,2.598853,7.458987,2.834307,7.694393,6.7761,7.4889,6.148853,3.57466,4.21216,6.8712
1.36923,3.12116,8.062993,9.46588,2.613713,7.532473,2.8633,7.749747,6.805827,7.56438,6.210553,3.60154,4.23038,6.90961
1.38462,3.134987,8.11652,9.52072,2.649573,7.578967,2.87994,7.78826,6.888533,7.6276,6.268187,3.62586,4.24844,6.94977
1.4,3.167973,8.110473,9.53758,2.66522,7.644367,2.877747,7.821807,6.907667,7.653207,6.320493,3.65578,4.27455,7.01431
1.41538,3.1863,8.17648,9.600327,2.682747,7.67554,2.909367,7.875253,6.99122,7.67906,6.3557,3.67412,4.32122,7.06096
1.43077,3.194213,8.202707,9.638587,2.693067,7.7391,2.9286,7.922473,7.040227,7.74428,6.42936,3.71186,4.36731,7.09811
1.44615,3.200967,8.21862,9.714153,2.72154,7.79682,2.933167,7.981033,7.085047,7.77946,6.467133,3.74023,4.3901,7.16591
1.46154,3.23412,8.313493,9.822413,2.73788,7.883327,2.969273,8.068373,7.156913,7.84792,6.50386,3.7572,4.42968,7.24153
1.47692,3.2363,8.380987,9.87442,2.770913,7.9379,2.99302,8.15274,7.181213,7.9614,6.566107,3.77717,4.46949,7.28372
1.49231,3.260333,8.417413,9.912813,2.795147,7.977407,3.01262,8.157793,7.177067,8.003507,6.561487,3.80122,4.49464,7.34941
1.50769,3.27484,8.42166,10.01168,2.80558,7.982293,3.013133,8.18196,7.18666,7.98798,6.543493,3.80456,4.50801,7.38955
1.52308,3.309107,8.509933,10.142593,2.804413,8.021547,3.027767,8.23056,7.210073,7.987427,6.562553,3.82667,4.52934,7.4062
