# Raman Linecut Export
# Pixel size: 15 nm
# Direction: horizontal
# Start offset from align: (5, 0)
# Length: 150 px
# Width averaged: 15 px
# Maps included: 15
# Alignment points:
#   860 cm⁻¹: align=(14,37), abs_start=(19,37)
#   870 cm⁻¹: align=(14,34), abs_start=(19,34)
#   880 cm⁻¹: align=(14,34), abs_start=(19,34)
#   890 cm⁻¹: align=(11,29), abs_start=(16,29)
#   900 cm⁻¹: align=(9,28), abs_start=(14,28)
#   911 cm⁻¹: align=(17,39), abs_start=(22,39)
#   920 cm⁻¹: align=(5,40), abs_start=(10,40)
#   930 cm⁻¹: align=(4,38), abs_start=(9,38)
#   941 cm⁻¹: align=(3,39), abs_start=(8,39)
#   950 cm⁻¹: align=(3,39), abs_start=(8,39)
#   960 cm⁻¹: align=(2,31), abs_start=(7,31)
#   970 cm⁻¹: align=(7,24), abs_start=(12,24)
#   980 cm⁻¹: align=(8,38), abs_start=(13,38)
#   991 cm⁻¹: align=(11,38), abs_start=(16,38)
#   1000 cm⁻¹: align=(15,42), abs_start=(20,42)

pixel_index,860_cm⁻¹,870_cm⁻¹,880_cm⁻¹,890_cm⁻¹,900_cm⁻¹,911_cm⁻¹,920_cm⁻¹,930_cm⁻¹,941_cm⁻¹,950_cm⁻¹,960_cm⁻¹,970_cm⁻¹,980_cm⁻¹,991_cm⁻¹,1000_cm⁻¹
59,1.981533,5.250427,6.223587,1.677587,4.479960,1.856427,4.904387,4.196367,4.664867,3.700853,2.018720,2.365873,4.822180,3.918920,3.927000
60,2.002640,5.289953,6.222253,1.669213,4.504393,1.876340,4.896147,4.173487,4.684260,3.736940,2.034927,2.371087,4.805647,3.937607,3.925040
61,2.002013,5.295327,6.171353,1.670567,4.539833,1.882947,4.861920,4.195880,4.709573,3.746860,2.048353,2.374807,4.832247,3.934353,3.920240
62,2.021267,5.268533,6.148013,1.677907,4.548513,1.865053,4.857880,4.155707,4.705813,3.747947,2.043413,2.366727,4.810253,3.923700,3.903193
63,2.017540,5.229773,6.123660,1.687000,4.536293,1.843120,4.786053,4.141227,4.658193,3.731593,2.032693,2.337193,4.782560,3.903080,3.918267
64,2.031313,5.194640,6.126100,1.680813,4.544287,1.831900,4.796613,4.148707,4.615867,3.682227,2.003427,2.348613,4.762447,3.943913,3.930847
65,2.029327,5.172480,6.178987,1.685153,4.535260,1.843107,4.794127,4.142633,4.596740,3.705033,2.012287,2.364800,4.805307,3.952860,3.928780
66,2.030340,5.174900,6.225820,1.706873,4.523073,1.831487,4.798180,4.121160,4.651120,3.704013,2.019920,2.340513,4.794527,3.928287,3.920767
67,2.024193,5.181453,6.247047,1.702393,4.509513,1.821873,4.836753,4.135787,4.615587,3.692600,2.025227,2.354967,4.792520,3.920347,3.892800
68,2.034953,5.194200,6.289620,1.709640,4.494213,1.835900,4.858220,4.154087,4.658320,3.703567,2.017800,2.346233,4.763560,3.899487,3.887793
69,2.020787,5.211393,6.291007,1.703793,4.481387,1.854673,4.820767,4.157200,4.663773,3.720813,2.025707,2.374307,4.780780,3.935013,3.926380
70,2.006860,5.218260,6.268433,1.706060,4.474113,1.856093,4.806220,4.173500,4.684920,3.724960,2.022800,2.354807,4.769160,3.934533,3.917387
71,2.019193,5.248280,6.256913,1.688047,4.492860,1.846353,4.830613,4.152520,4.691147,3.689120,2.024967,2.376927,4.799053,3.935707,3.916487
72,2.001540,5.283480,6.243947,1.678720,4.489413,1.851847,4.847813,4.174967,4.679513,3.714160,2.024753,2.372127,4.816380,3.938633,3.921373
73,2.010800,5.285040,6.194873,1.679313,4.512213,1.858987,4.832680,4.186620,4.694987,3.728740,2.034700,2.353840,4.803540,3.913613,3.904913
74,2.016100,5.282627,6.195653,1.682393,4.517960,1.857813,4.845573,4.186433,4.684140,3.707080,2.041787,2.339307,4.794627,3.920013,3.906480
75,2.027500,5.270593,6.165207,1.681500,4.503193,1.830293,4.815560,4.164660,4.653993,3.729720,2.033400,2.344887,4.787293,3.940747,3.905840
76,2.035527,5.237033,6.164433,1.690473,4.499027,1.838807,4.832760,4.140833,4.620220,3.707073,2.032920,2.356307,4.786340,3.919700,3.918893
77,2.024980,5.234527,6.188760,1.691787,4.502020,1.824640,4.827053,4.142127,4.651347,3.708753,2.028140,2.365373,4.785427,3.915060,3.918973
78,2.023067,5.216333,6.180827,1.691987,4.476647,1.859400,4.827613,4.159547,4.664127,3.709860,2.042233,2.361607,4.807940,3.925180,3.921253
79,2.052260,5.217493,6.183140,1.687920,4.478960,1.838407,4.818760,4.144660,4.643740,3.699480,2.016587,2.363933,4.785040,3.925300,3.913500
80,2.036507,5.220480,6.205507,1.678000,4.473100,1.840633,4.880480,4.177053,4.639233,3.706287,2.021833,2.371407,4.812080,3.946053,3.932053
81,2.031047,5.205987,6.231053,1.704127,4.488473,1.851673,4.864060,4.195333,4.694793,3.728927,2.032520,2.368820,4.832627,3.958320,3.930607
82,2.040153,5.206507,6.192587,1.685640,4.506727,1.836827,4.840313,4.181220,4.685320,3.749280,2.030080,2.365933,4.810140,3.964627,3.922967
83,2.040633,5.201713,6.205533,1.691187,4.500887,1.845393,4.840380,4.154453,4.669667,3.717713,2.021687,2.355893,4.806327,3.917847,3.927380
84,2.030560,5.233007,6.175467,1.683173,4.523433,1.845220,4.837933,4.161920,4.676287,3.718700,2.033407,2.363927,4.800540,3.928853,3.905900
85,2.027447,5.242620,6.175887,1.675733,4.517860,1.836873,4.843787,4.186693,4.675813,3.717060,2.034353,2.364180,4.815587,3.930540,3.909167
86,2.029927,5.240460,6.178420,1.677267,4.516293,1.852307,4.823747,4.142160,4.660627,3.717973,2.033427,2.344673,4.789100,3.923987,3.914313
87,2.033127,5.239247,6.162793,1.686560,4.520613,1.849353,4.847840,4.157893,4.660720,3.690387,2.026253,2.345740,4.774600,3.929107,3.931733
88,2.016400,5.227760,6.176827,1.690553,4.494813,1.836027,4.845653,4.167220,4.688440,3.726960,2.039427,2.364000,4.813573,3.952107,3.935367
89,2.031113,5.221260,6.164860,1.688120,4.496593,1.836280,4.811253,4.159380,4.692820,3.714527,2.041940,2.353473,4.809380,3.933207,3.921693
90,2.027253,5.240773,6.208660,1.690520,4.493767,1.844400,4.816140,4.175347,4.668653,3.710893,2.030513,2.371620,4.785127,3.938513,3.914920
91,2.031013,5.219047,6.236920,1.694000,4.503700,1.839187,4.830113,4.171447,4.644960,3.724440,2.030573,2.365387,4.833460,3.948387,3.943100
92,2.031747,5.228593,6.258873,1.693880,4.499073,1.838893,4.816820,4.171933,4.676460,3.721633,2.032573,2.366447,4.829613,3.945713,3.956907
93,2.036200,5.244987,6.265487,1.707107,4.504160,1.845467,4.850173,4.178907,4.686700,3.739633,2.032553,2.372307,4.822773,3.944407,3.947267
94,2.040540,5.264427,6.257673,1.702200,4.508273,1.838973,4.825247,4.212107,4.702013,3.735167,2.042980,2.373547,4.812760,3.944447,3.912240
95,2.037787,5.262767,6.260267,1.703080,4.525907,1.846993,4.833213,4.204073,4.684913,3.718840,2.028327,2.360173,4.805927,3.943533,3.934180
96,2.038887,5.255740,6.294513,1.687653,4.525547,1.861287,4.834607,4.196053,4.694287,3.720973,2.038593,2.369760,4.810660,3.935887,3.925507
97,2.039960,5.278107,6.263987,1.704913,4.536567,1.861233,4.843320,4.192473,4.690293,3.728253,2.034567,2.371873,4.807073,3.925547,3.908907
98,2.034793,5.277900,6.258687,1.692727,4.520613,1.842040,4.837253,4.194400,4.690813,3.743120,2.033287,2.351700,4.806720,3.934880,3.935180
99,2.024847,5.267907,6.239507,1.699213,4.511200,1.850707,4.829587,4.155653,4.666320,3.724453,2.035360,2.377273,4.808140,3.947653,3.938167
100,2.038500,5.270433,6.230133,1.674520,4.514667,1.839367,4.845580,4.195120,4.667133,3.716920,2.031880,2.369667,4.812773,3.967120,3.934040
101,2.034267,5.266580,6.255107,1.689713,4.496800,1.854087,4.850547,4.168187,4.694253,3.735653,2.031347,2.371360,4.835747,3.944087,3.942660
102,2.019367,5.277307,6.249660,1.703673,4.502567,1.866533,4.871640,4.183827,4.701147,3.746087,2.053187,2.369747,4.823200,3.965147,3.956133
103,2.038080,5.272467,6.241973,1.696767,4.535227,1.866960,4.862800,4.184307,4.718453,3.742267,2.045113,2.382413,4.815047,3.953013,3.928653
104,2.034180,5.250900,6.229900,1.694020,4.524127,1.863880,4.855433,4.170213,4.728733,3.746407,2.042833,2.371673,4.821127,3.951033,3.936013
105,2.032973,5.244847,6.222100,1.685800,4.517373,1.850133,4.850207,4.176280,4.688747,3.737493,2.047013,2.355700,4.818453,3.937373,3.925360
106,2.036527,5.233713,6.221840,1.688607,4.525813,1.841660,4.844927,4.158600,4.662973,3.722693,2.025080,2.358200,4.797900,3.925947,3.944087
