# Raman Linecut Export
# Pixel size: 15 nm
# Direction: horizontal
# Start offset from align: (5, 0)
# Length: 120 px
# Width averaged: 10 px
# Maps included: 15
# Alignment points:
#   860 cm⁻¹: align=(21,40), abs_start=(26,40)
#   870 cm⁻¹: align=(20,39), abs_start=(25,39)
#   880 cm⁻¹: align=(18,38), abs_start=(23,38)
#   890 cm⁻¹: align=(18,37), abs_start=(23,37)
#   900 cm⁻¹: align=(10,39), abs_start=(15,39)
#   911 cm⁻¹: align=(26,43), abs_start=(31,43)
#   920 cm⁻¹: align=(13,46), abs_start=(18,46)
#   930 cm⁻¹: align=(11,46), abs_start=(16,46)
#   941 cm⁻¹: align=(11,46), abs_start=(16,46)
#   950 cm⁻¹: align=(13,47), abs_start=(18,47)
#   960 cm⁻¹: align=(10,36), abs_start=(15,36)
#   970 cm⁻¹: align=(13,30), abs_start=(18,30)
#   980 cm⁻¹: align=(14,43), abs_start=(19,43)
#   991 cm⁻¹: align=(21,43), abs_start=(26,43)
#   1000 cm⁻¹: align=(23,44), abs_start=(28,44)

pixel_index,860_cm⁻¹,870_cm⁻¹,880_cm⁻¹,890_cm⁻¹,900_cm⁻¹,911_cm⁻¹,920_cm⁻¹,930_cm⁻¹,941_cm⁻¹,950_cm⁻¹,960_cm⁻¹,970_cm⁻¹,980_cm⁻¹,991_cm⁻¹,1000_cm⁻¹
50,3.379930,8.339060,9.701170,2.867780,8.376840,3.092590,8.271320,7.040200,7.887040,6.579080,3.841210,4.407300,7.480310,5.478720,5.780510
51,3.313900,8.232770,9.749100,2.908250,8.366510,3.041980,8.112020,7.003850,7.953170,6.589080,3.830390,4.424040,7.481810,5.563350,5.782670
52,3.293330,8.248890,9.828460,2.948980,8.304740,2.989080,8.003970,7.027910,7.957200,6.599590,3.836400,4.446250,7.495890,5.557090,5.831990
53,3.276140,8.331690,9.986930,2.965320,8.200130,2.959540,7.975090,7.095690,8.073450,6.592130,3.834190,4.470490,7.526640,5.511090,5.853590
54,3.242340,8.351010,10.225400,2.944210,8.040240,2.919480,7.929720,7.108720,8.030520,6.515530,3.777670,4.492050,7.512180,5.545940,5.869530
55,3.218640,8.360390,10.306600,2.897230,7.933630,2.893090,7.920450,7.122520,7.913480,6.431540,3.758070,4.386670,7.414380,5.589200,5.856060
56,3.205550,8.398250,10.355700,2.866410,7.840040,2.926900,7.932540,7.153550,7.915700,6.431430,3.808000,4.348590,7.391170,5.580010,5.823480
57,3.246340,8.594100,10.422500,2.876580,7.768530,2.941970,8.077640,7.222780,7.937250,6.522010,3.878600,4.421910,7.393080,5.553840,5.849880
58,3.288270,8.766610,10.595900,2.815520,7.700040,2.970960,8.201300,7.264990,7.990620,6.550630,3.844300,4.457050,7.467730,5.522310,5.837420
59,3.284960,8.757730,10.588200,2.774320,7.619580,3.005650,8.204710,7.189830,7.905000,6.506380,3.805820,4.452190,7.504080,5.548840,5.840080
